,경제단어
0,"('삼성', 1418)"
1,"('한국', 1305)"
2,"('투자', 1159)"
3,"('출시', 1013)"
4,"('기업', 952)"
5,"('전자', 927)"
6,"('금융', 925)"
7,"('영업', 894)"
8,"('등', 799)"
9,"('주', 782)"
10,"('회장', 716)"
11,"('시장', 710)"
12,"('년', 688)"
13,"('사업', 684)"
14,"('것', 674)"
15,"('증가', 653)"
16,"('위', 651)"
17,"('개발', 644)"
18,"('정부', 641)"
19,"('현대', 627)"
20,"('최대', 604)"
21,"('롯데', 582)"
22,"('명', 568)"
23,"('올해', 550)"
24,"('국내', 536)"
25,"('기술', 533)"
26,"('판매', 518)"
27,"('개', 504)"
28,"('산업', 500)"
29,"('지원', 495)"
30,"('중', 493)"
31,"('제', 492)"
32,"('경제', 489)"
33,"('매출', 487)"
34,"('서비스', 483)"
35,"('익', 475)"
36,"('해외', 461)"
37,"('중국', 459)"
38,"('건설', 457)"
39,"('서울', 449)"
40,"('대출', 443)"
41,"('사장', 443)"
42,"('종합', 442)"
43,"('사', 441)"
44,"('금리', 438)"
45,"('바이오', 437)"
46,"('감소', 437)"
47,"('인사', 434)"
48,"('상승', 434)"
49,"('더', 430)"
50,"('은행', 429)"
51,"('대표', 427)"
52,"('금감원', 425)"
53,"('그룹', 422)"
54,"('이익', 421)"
55,"('인상', 408)"
56,"('차', 401)"
57,"('코스피', 399)"
58,"('부동산', 398)"
59,"('최고', 396)"
60,"('첫', 396)"
61,"('특징', 391)"
62,"('주택', 385)"
63,"('세계', 385)"
64,"('현대차', 382)"
65,"('목표', 374)"
66,"('성장', 374)"
67,"('증시', 373)"
68,"('공개', 373)"
69,"('화폐', 371)"
70,"('글로벌', 371)"
71,"('최저임금', 362)"
72,"('로', 362)"
73,"('규제', 360)"
74,"('하락', 359)"
75,"('규모', 358)"
76,"('아파트', 357)"
77,"('수출', 355)"
78,"('개월', 354)"
79,"('개최', 353)"
80,"('곳', 348)"
81,"('가상', 348)"
82,"('보', 343)"
83,"('실적', 334)"
84,"('확대', 334)"
85,"('게임', 332)"
86,"('공급', 332)"
87,"('강화', 329)"
88,"('공장', 328)"
89,"('거래', 323)"
90,"('스마트', 321)"
91,"('카카오', 318)"
92,"('증권', 318)"
93,"('작년', 303)"
94,"('혁신', 299)"
95,"('협력', 298)"
96,"('전', 298)"
97,"('달', 297)"
98,"('경영', 296)"
99,"('마켓', 295)"
100,"('일자리', 294)"
101,"('배', 292)"
102,"('추진', 290)"
103,"('도입', 283)"
104,"('채용', 281)"
105,"('대상', 281)"
106,"('가격', 279)"
107,"('업체', 279)"
108,"('외', 278)"
109,"('보험', 277)"
110,"('연속', 276)"
111,"('공사', 275)"
112,"('생산', 271)"
113,"('내년', 270)"
114,"('수', 270)"
115,"('가구', 268)"
116,"('미래', 267)"
117,"('주가', 266)"
118,"('분양', 265)"
119,"('반도체', 262)"
120,"('인수', 262)"
121,"('업계', 261)"
122,"('선', 259)"
123,"('노트', 259)"
124,"('하나', 259)"
125,"('돌파', 253)"
126,"('텔레콤', 252)"
127,"('미국', 251)"
128,"('계약', 246)"
129,"('임', 245)"
130,"('네이버', 245)"
131,"('세', 244)"
132,"('지난해', 243)"
133,"('단독', 242)"
134,"('부회장', 241)"
135,"('직원', 239)"
136,"('진출', 239)"
137,"('안', 237)"
138,"('관리', 237)"
139,"('총', 236)"
140,"('치료', 232)"
141,"('결정', 231)"
142,"('한화', 229)"
143,"('노조', 228)"
144,"('액', 226)"
145,"('비', 226)"
146,"('전환', 224)"
147,"('뷰', 223)"
148,"('신임', 222)"
149,"('수주', 222)"
150,"('재', 221)"
151,"('상반기', 221)"
152,"('우려', 220)"
153,"('개선', 220)"
154,"('할인', 219)"
155,"('선임', 219)"
