,사설단어
0,"('사설', 800)"
1,"('외', 338)"
2,"('칼럼', 310)"
3,"('만물상', 271)"
4,"('면봉', 268)"
5,"('기자', 245)"
6,"('일언', 221)"
7,"('한마디', 162)"
8,"('의', 161)"
9,"('정부', 159)"
10,"('뉴스', 154)"
11,"('대통령', 154)"
12,"('시각', 147)"
13,"('한국', 141)"
14,"('발언', 135)"
15,"('김정은', 114)"
16,"('것', 97)"
17,"('안', 94)"
18,"('태평로', 91)"
19,"('영', 90)"
20,"('스토리', 90)"
21,"('이', 90)"
22,"('윤희', 89)"
23,"('사람', 81)"
24,"('말', 81)"
25,"('데스크', 72)"
26,"('트럼프', 68)"
27,"('경제', 67)"
28,"('독자', 65)"
29,"('리포트', 63)"
30,"('은', 63)"
31,"('저격', 63)"
32,"('우정', 60)"
33,"('국민', 59)"
34,"('문화', 57)"
35,"('우리', 57)"
36,"('최보', 56)"
37,"('글', 56)"
38,"('중국', 55)"
39,"('책', 53)"
40,"('수', 53)"
41,"('북한', 52)"
42,"('정책', 51)"
43,"('정치', 51)"
44,"('정상회담', 51)"
45,"('특파원', 50)"
46,"('자연', 49)"
47,"('더', 48)"
48,"('만난', 48)"
49,"('디자인', 48)"
50,"('워싱턴', 48)"
51,"('가슴', 48)"
52,"('극장', 47)"
53,"('동시', 47)"
54,"('지문', 46)"
55,"('살롱', 46)"
56,"('옥', 46)"
57,"('시론', 46)"
58,"('노트', 46)"
59,"('전문', 46)"
60,"('동서남북', 46)"
61,"('비핵화', 45)"
62,"('최재천', 45)"
63,"('아트', 45)"
64,"('헌', 45)"
65,"('정경원', 45)"
66,"('이미도', 45)"
67,"('무비', 45)"
68,"('장석주', 45)"
69,"('사물', 45)"
70,"('김대식', 45)"
71,"('브레인', 45)"
72,"('남북', 45)"
73,"('정민', 44)"
74,"('미국', 43)"
75,"('왜', 43)"
76,"('식이', 42)"
77,"('못', 42)"
78,"('이야기', 42)"
79,"('때', 41)"
80,"('내', 40)"
81,"('또', 40)"
82,"('기업', 40)"
83,"('로', 40)"
84,"('건가', 39)"
85,"('경제포커스', 39)"
86,"('위', 38)"
87,"('선', 38)"
88,"('일자리', 38)"
89,"('이유', 37)"
90,"('정원', 37)"
91,"('회담', 37)"
92,"('원전', 37)"
93,"('북핵', 37)"
94,"('장석남', 36)"
95,"('시로', 36)"
96,"('나라', 36)"
97,"('일', 36)"
98,"('하나', 35)"
99,"('기고', 35)"
100,"('를', 35)"
101,"('핵', 34)"
102,"('논설', 34)"
103,"('실의', 34)"
104,"('김명환', 34)"
105,"('시간여행', 34)"
106,"('과', 34)"
107,"('중', 34)"
108,"('속', 34)"
109,"('세금', 34)"
110,"('수첩', 34)"
111,"('청와대', 33)"
112,"('조선일보', 33)"
113,"('마당', 33)"
114,"('사회', 33)"
115,"('세계', 33)"
116,"('폐기', 33)"
117,"('수사', 33)"
118,"('최저임금', 33)"
119,"('시대', 32)"
120,"('제재', 32)"
121,"('건', 32)"
122,"('법', 32)"
123,"('의원', 31)"
124,"('이한상', 31)"
125,"('발굴', 31)"
126,"('도', 30)"
127,"('북', 30)"
128,"('전', 30)"
129,"('장관', 30)"
130,"('드루', 30)"
131,"('킹', 30)"
132,"('정권', 29)"
133,"('대북', 29)"
134,"('선의', 29)"
135,"('차', 28)"
136,"('명', 28)"
137,"('노조', 28)"
138,"('날', 28)"
139,"('차이나', 27)"
140,"('대한민국', 27)"
141,"('대화', 27)"
142,"('문제', 27)"
143,"('강인', 27)"
144,"('제', 26)"
145,"('세', 26)"
146,"('뒤', 26)"
147,"('달', 26)"
148,"('한반도', 26)"
149,"('선언', 25)"
150,"('선거', 25)"
151,"('교육', 25)"
152,"('전쟁', 24)"
153,"('위기', 24)"
154,"('경찰', 24)"
155,"('고용', 24)"
156,"('외교', 24)"
157,"('규제', 24)"
158,"('협상', 24)"
159,"('종', 23)"
160,"('양해', 23)"
161,"('말글', 23)"
162,"('탐험', 23)"
163,"('시작', 23)"
164,"('소득', 23)"
165,"('성장', 23)"
166,"('평화', 23)"
167,"('조각', 23)"
168,"('환경', 23)"
169,"('자유', 23)"
170,"('후보', 23)"
171,"('개혁', 23)"
172,"('평창', 23)"
173,"('앞', 22)"
174,"('김대중', 22)"
175,"('적폐', 22)"
176,"('배', 22)"
177,"('상목', 22)"
178,"('스시', 22)"
179,"('국가', 22)"
180,"('이번', 22)"
181,"('게', 21)"
182,"('강천석', 21)"
183,"('유광', 21)"
184,"('세상', 21)"
185,"('서진영', 21)"
186,"('명심보감', 21)"
187,"('양상훈', 21)"
188,"('산책', 21)"
189,"('후', 21)"
190,"('권력', 21)"
191,"('훈련', 21)"
192,"('이제', 20)"
193,"('입', 20)"
194,"('탈', 20)"
195,"('개월', 20)"
196,"('개', 20)"
197,"('미래', 20)"
198,"('돈', 20)"
199,"('평양', 19)"
200,"('두', 19)"
201,"('조사', 19)"
202,"('대법원', 19)"
203,"('대한', 19)"
204,"('역사', 19)"
205,"('일본', 19)"
206,"('다시', 19)"
207,"('힘', 18)"
208,"('대표', 18)"
209,"('눈', 18)"
210,"('압박', 18)"
211,"('다른', 18)"
212,"('만', 18)"
213,"('보수', 18)"
214,"('대책', 18)"
215,"('끝', 18)"
216,"('미군', 18)"
217,"('전문가', 18)"
218,"('서울', 17)"
219,"('줄', 17)"
220,"('삶', 17)"
221,"('사업', 17)"
222,"('주도', 17)"
223,"('지금', 17)"
224,"('그', 17)"
225,"('공개', 17)"
226,"('동맹', 17)"
227,"('시장', 17)"
228,"('집', 16)"
229,"('길', 16)"
230,"('나', 16)"
231,"('박정훈', 16)"
232,"('최악', 16)"
233,"('검찰', 16)"
234,"('팀', 16)"
235,"('코리아', 16)"
236,"('가짜', 16)"
237,"('문', 16)"
238,"('방송', 16)"
239,"('먼저', 16)"
240,"('쇼', 16)"
241,"('생각', 16)"
242,"('시진핑', 16)"
243,"('단', 16)"
244,"('국방', 16)"
245,"('댓글', 16)"
246,"('사랑', 15)"
247,"('번', 15)"
248,"('안보', 15)"
249,"('단체', 15)"
250,"('혁신', 15)"
251,"('합의', 15)"
252,"('인권', 15)"
253,"('시위', 15)"
254,"('윤평중', 15)"
255,"('문재인', 15)"
256,"('인간', 15)"
257,"('고', 15)"
258,"('판사', 15)"
259,"('한삼', 15)"
260,"('걱정', 15)"
261,"('대신', 15)"
262,"('천안함', 15)"
263,"('올림픽', 15)"
264,"('꽃', 15)"
265,"('특사', 15)"
266,"('특검', 15)"
267,"('교육감', 15)"
268,"('가지', 14)"
269,"('추진', 14)"
270,"('거부', 14)"
271,"('김창균', 14)"
272,"('김정운', 14)"
273,"('청산', 14)"
274,"('국민연금', 14)"
275,"('태양광', 14)"
276,"('터치', 14)"
277,"('실패', 14)"
278,"('최고', 14)"
279,"('누가', 14)"
280,"('투자', 14)"
281,"('인상', 14)"
282,"('교육부', 14)"
283,"('침묵', 14)"
284,"('계속', 14)"
285,"('개헌', 14)"
286,"('사용', 14)"
287,"('새', 14)"
288,"('결정', 14)"
289,"('어디', 14)"
290,"('시', 14)"
291,"('김철중', 13)"
292,"('불', 13)"
293,"('행복', 13)"
294,"('우려', 13)"
295,"('포기', 13)"
296,"('편지', 13)"
297,"('여당', 13)"
298,"('준', 13)"
299,"('과거', 13)"
300,"('사진', 13)"
301,"('특별', 13)"
302,"('중단', 13)"
303,"('전략', 13)"
304,"('군사', 13)"
305,"('탓', 13)"
306,"('진짜', 13)"
307,"('논란', 13)"
308,"('판', 13)"
309,"('언론', 13)"
310,"('사고', 13)"
311,"('이름', 13)"
312,"('주의', 13)"
313,"('참사', 13)"
314,"('노인', 13)"
315,"('물', 13)"
316,"('무역', 13)"
317,"('통계', 13)"
318,"('평창올림픽', 13)"
319,"('미투', 13)"
320,"('준비', 12)"
321,"('인사', 12)"
322,"('학교', 12)"
323,"('철수', 12)"
324,"('금지', 12)"
325,"('정말', 12)"
326,"('재판', 12)"
327,"('거리', 12)"
328,"('완화', 12)"
329,"('거래', 12)"
330,"('공무원', 12)"
331,"('안전', 12)"
332,"('오', 12)"
333,"('김영철', 12)"
334,"('위협', 12)"
335,"('삼성', 12)"
336,"('손', 12)"
337,"('여론', 12)"
338,"('운동', 12)"
339,"('약속', 12)"
340,"('재', 12)"
341,"('폭탄', 12)"
342,"('민노총', 11)"
343,"('회의', 11)"
344,"('반도체', 11)"
345,"('병역', 11)"
346,"('국회', 11)"
347,"('위원장', 11)"
348,"('해', 11)"
349,"('언제', 11)"
350,"('정상', 11)"
351,"('산업', 11)"
352,"('은행', 11)"
353,"('유럽', 11)"
354,"('류근일', 11)"
355,"('영화', 11)"
356,"('비리', 11)"
357,"('게임', 11)"
358,"('등', 11)"
359,"('전기', 11)"
360,"('도시', 11)"
361,"('사건', 11)"
362,"('데', 11)"
363,"('리더십', 11)"
364,"('카드', 11)"
365,"('예술', 11)"
366,"('철도', 11)"
367,"('가장', 11)"
368,"('론', 11)"
369,"('이상', 11)"
370,"('폼페이', 11)"
371,"('출신', 11)"
372,"('집값', 11)"
373,"('싱가포르', 11)"
374,"('위해', 11)"
375,"('실', 11)"
376,"('아파트', 11)"
377,"('첫', 11)"
378,"('이용', 11)"
379,"('바람', 10)"
380,"('대기업', 10)"
381,"('알', 10)"
382,"('답', 10)"
383,"('김광일', 10)"
384,"('때문', 10)"
385,"('걸', 10)"
386,"('시간', 10)"
387,"('김', 10)"
388,"('예산', 10)"
389,"('취업', 10)"
390,"('직접', 10)"
391,"('비판', 10)"
392,"('이후', 10)"
393,"('대학', 10)"
394,"('기술', 10)"
395,"('단속', 10)"
396,"('폭력', 10)"
397,"('혁명', 10)"
398,"('자기', 10)"
399,"('가을', 10)"
400,"('료', 10)"
401,"('비결', 10)"
402,"('세기', 10)"
403,"('종전', 10)"
404,"('달라', 10)"
405,"('미세', 10)"
406,"('제주', 10)"
407,"('현장', 10)"
408,"('검토', 10)"
409,"('뭐', 10)"
410,"('불법', 10)"
411,"('논의', 10)"
412,"('주택', 10)"
413,"('오늘', 10)"
414,"('폐지', 10)"
415,"('시설', 10)"
416,"('대응', 10)"
417,"('마음', 10)"
418,"('조작', 10)"
419,"('전교조', 10)"
420,"('공약', 10)"
421,"('효과', 10)"
422,"('화폐', 10)"
423,"('마지막', 10)"
424,"('거짓말', 10)"
425,"('교과서', 10)"
426,"('민주주의', 9)"
427,"('지원', 9)"
428,"('세대', 9)"
429,"('비밀', 9)"
430,"('추락', 9)"
431,"('통상', 9)"
