,정치단어
0,"('대통령', 1433)"
1,"('김정은', 682)"
2,"('한국', 655)"
3,"('것', 545)"
4,"('남북', 501)"
5,"('회담', 494)"
6,"('정부', 417)"
7,"('비핵화', 370)"
8,"('트럼프', 362)"
9,"('후보', 302)"
10,"('정상회담', 288)"
11,"('국회', 284)"
12,"('명', 284)"
13,"('북한', 270)"
14,"('홍준표', 266)"
15,"('선언', 259)"
16,"('대표', 251)"
17,"('평양', 230)"
18,"('속보', 225)"
19,"('민주당', 222)"
20,"('단', 219)"
21,"('제재', 218)"
22,"('합의', 206)"
23,"('안', 205)"
24,"('평화', 200)"
25,"('장관', 197)"
26,"('한미', 196)"
27,"('등', 194)"
28,"('북', 192)"
29,"('안철수', 189)"
30,"('위', 187)"
31,"('훈련', 186)"
32,"('김성태', 183)"
33,"('의원', 181)"
34,"('논의', 180)"
35,"('판문점', 180)"
36,"('지방선거', 177)"
37,"('대북', 176)"
38,"('중', 173)"
39,"('드루', 171)"
40,"('킹', 171)"
41,"('추진', 167)"
42,"('경제', 166)"
43,"('논란', 162)"
44,"('전', 154)"
45,"('한반도', 153)"
46,"('대화', 151)"
47,"('핵', 144)"
48,"('오늘', 142)"
49,"('문제', 141)"
50,"('미래', 140)"
51,"('선거', 139)"
52,"('듯', 139)"
53,"('정치', 139)"
54,"('때', 139)"
55,"('후', 138)"
56,"('인사', 138)"
57,"('통일부', 137)"
58,"('청와대', 134)"
59,"('방북', 134)"
60,"('폼페이', 131)"
61,"('오', 131)"
62,"('여야', 130)"
63,"('말', 130)"
64,"('우리', 128)"
65,"('의혹', 128)"
66,"('평창', 127)"
67,"('차', 126)"
68,"('국민', 125)"
69,"('특검', 125)"
70,"('첫', 124)"
71,"('방문', 122)"
72,"('이재명', 121)"
73,"('협상', 119)"
74,"('지원', 118)"
75,"('통일', 118)"
76,"('김영철', 116)"
77,"('국방부', 115)"
78,"('수', 114)"
79,"('발언', 113)"
80,"('정상', 113)"
81,"('공동', 112)"
82,"('일', 112)"
83,"('개최', 112)"
84,"('검토', 112)"
85,"('서울', 112)"
86,"('중단', 110)"
87,"('협의', 110)"
88,"('이해찬', 110)"
89,"('출마', 110)"
90,"('군사', 108)"
91,"('김병준', 108)"
92,"('총리', 108)"
93,"('회의', 108)"
94,"('김경수', 108)"
95,"('미국', 106)"
96,"('보수', 105)"
97,"('당', 105)"
98,"('내', 104)"
99,"('미군', 104)"
100,"('더', 103)"
101,"('북미', 103)"
102,"('정책', 102)"
103,"('강경화', 102)"
104,"('국방', 102)"
105,"('또', 100)"
106,"('위원장', 100)"
107,"('개헌', 100)"
108,"('북핵', 99)"
109,"('외교', 98)"
110,"('이', 98)"
111,"('곳', 98)"
112,"('외교부', 97)"
113,"('싱가포르', 96)"
114,"('준비', 96)"
115,"('공개', 95)"
116,"('전문가', 93)"
117,"('발표', 93)"
118,"('박원순', 93)"
119,"('조명', 92)"
120,"('재', 92)"
121,"('회', 92)"
122,"('선', 91)"
123,"('반대', 91)"
124,"('고위', 89)"
125,"('폐기', 89)"
126,"('보도', 88)"
127,"('사퇴', 86)"
128,"('협력', 85)"
129,"('남북정상회담', 85)"
130,"('김기식', 85)"
131,"('중국', 84)"
132,"('관', 84)"
133,"('확인', 84)"
134,"('특사', 84)"
135,"('개헌안', 84)"
136,"('요구', 83)"
137,"('기무사', 83)"
138,"('유승민', 83)"
139,"('균', 82)"
140,"('사실', 82)"
141,"('지지율', 81)"
142,"('문', 81)"
143,"('수사', 79)"
144,"('의', 78)"
145,"('종전', 77)"
146,"('위해', 75)"
147,"('성장', 75)"
148,"('최저임금', 75)"
149,"('김문수', 75)"
150,"('압박', 74)"
151,"('가능성', 74)"
152,"('안보', 74)"
153,"('비', 74)"
154,"('이번', 74)"
155,"('취소', 74)"
156,"('무', 74)"
157,"('조사', 73)"
158,"('소득', 73)"
159,"('제', 73)"
160,"('임종석', 73)"
161,"('조치', 73)"
162,"('개', 73)"
163,"('일자리', 71)"
164,"('내일', 71)"
165,"('달', 71)"
166,"('실무', 71)"
167,"('추미애', 71)"
168,"('시작', 70)"
169,"('처리', 70)"
170,"('석탄', 70)"
171,"('날', 69)"
172,"('입장', 69)"
173,"('인권', 69)"
174,"('정권', 69)"
175,"('정의용', 69)"
176,"('단독', 69)"
177,"('참석', 68)"
178,"('주간조선', 68)"
179,"('은', 68)"
180,"('국가', 68)"
181,"('행사', 68)"
182,"('주도', 67)"
183,"('유엔', 67)"
184,"('통합', 67)"
185,"('정당', 66)"
186,"('결정', 66)"
187,"('김여정', 66)"
188,"('왜', 65)"
189,"('달라', 65)"
190,"('개혁', 65)"
191,"('매체', 65)"
192,"('재개', 65)"
193,"('검찰', 65)"
194,"('연합', 64)"
195,"('언급', 64)"
196,"('건', 63)"
197,"('도착', 63)"
198,"('문건', 63)"
199,"('보고', 63)"
200,"('선관위', 63)"
201,"('계속', 62)"
202,"('시진핑', 62)"
203,"('법', 62)"
204,"('도', 62)"
205,"('못', 62)"
206,"('전략', 62)"
207,"('공연', 61)"
208,"('로', 61)"
209,"('지지', 61)"
210,"('일정', 61)"
211,"('예술', 61)"
212,"('국정원', 61)"
213,"('수석', 60)"
214,"('야당', 60)"
215,"('핵실험', 60)"
216,"('철수', 60)"
217,"('비준', 60)"
218,"('동참', 60)"
219,"('지사', 60)"
220,"('올림픽', 59)"
221,"('민주', 59)"
222,"('일화', 59)"
223,"('요청', 58)"
224,"('연락', 58)"
225,"('경남', 58)"
226,"('사과', 57)"
227,"('계리', 57)"
228,"('고용', 57)"
229,"('점검', 57)"
230,"('과', 57)"
231,"('나눔', 57)"
232,"('손학규', 56)"
233,"('필요', 56)"
234,"('새', 56)"
235,"('천안함', 56)"
236,"('확정', 56)"
237,"('관련', 56)"
238,"('공천', 56)"
239,"('전문', 55)"
240,"('장하', 55)"
241,"('특별', 55)"
242,"('사람', 55)"
243,"('비판', 55)"
244,"('통화', 55)"
245,"('볼턴', 55)"
246,"('투표', 55)"
247,"('펀드', 55)"
248,"('현송월', 55)"
249,"('예산', 54)"
250,"('완화', 54)"
251,"('카드', 54)"
