,단어명,경제 빈도수
0,삼성,1418
1,투자,1159
2,출시,1013
3,전자,927
4,금융,925
5,영업,894
6,시장,710
7,사업,684
8,증가,653
9,개발,644
10,현대,627
11,롯데,582
12,국내,536
13,기술,533
14,판매,518
15,산업,500
16,지원,495
17,경제,489
18,매출,487
19,서비스,483
20,해외,461
21,중국,459
22,건설,457
23,대출,443
24,사장,443
25,종합,442
26,금리,438
27,바이오,437
28,감소,437
29,인사,434
30,상승,434
31,은행,429
32,금감원,425
33,그룹,422
34,이익,421
35,인상,408
36,코스피,399
37,부동산,398
38,최고,396
39,특징,391
40,주택,385
41,세계,385
42,현대차,382
43,목표,374
44,성장,374
45,증시,373
46,공개,373
47,화폐,371
48,글로벌,371
49,최저임금,362
50,규제,360
51,하락,359
52,규모,358
53,아파트,357
54,수출,355
55,개최,353
56,가상,348
57,실적,334
58,확대,334
59,게임,332
60,공급,332
61,강화,329
62,공장,328
63,거래,323
64,스마트,321
65,카카오,318
66,증권,318
67,작년,303
68,혁신,299
69,협력,298
70,경영,296
71,마켓,295
72,일자리,294
73,도입,283
74,채용,281
75,대상,281
76,가격,279
77,업체,279
78,보험,277
79,연속,276
80,공사,275
81,생산,271
82,가구,268
83,주가,266
84,분양,265
85,반도체,262
86,인수,262
87,업계,261
88,노트,259
89,하나,259
90,돌파,253
91,텔레콤,252
92,미국,251
93,계약,246
94,네이버,245
95,지난해,243
96,단독,242
97,부회장,241
98,직원,239
99,진출,239
100,관리,237
101,치료,232
102,결정,231
103,한화,229
104,노조,228
105,전환,224
106,신임,222
107,수주,222
108,상반기,221
109,우려,220
110,개선,220
111,할인,219
112,선임,219
113,펀드,218
114,체결,218
115,선정,212
116,경제지표,212
117,김동연,211
118,코스닥,210
119,신규,206
120,최초,206
121,원전,205
122,뉴스,205
123,에너지,204
124,고용,203
125,추가,202
126,고객,202
127,논란,202
128,사상,201
129,사회,200
130,컨콜,199
131,지역,198
132,주식,198
133,브랜드,198
134,체인,197
135,포스코,197
136,강남,197
137,블록,195
138,유플러스,195
139,무역,194
140,코리아,193
141,병원,193
142,정책,192
143,이상,192
144,위해,191
145,스마트폰,189
146,우리,188
147,검토,188
148,시대,188
149,센터,187
150,카드,185
151,경기,185
152,전망,185
153,하반기,183
154,영향,182
155,모바일,181
156,시스템,180
157,재건축,180
158,조사,179
159,신세계,177
160,장관,176
161,소득,175
162,국민연금,175
163,매각,174
164,공정위,172
165,생명,172
166,발표,171
167,칼럼,171
168,전국,171
169,대기업,170
170,회사,169
171,진행,168
172,강세,168
173,백화점,167
174,대비,166
175,자금,165
176,외국인,165
177,역대,164
178,정보,164
179,적용,163
180,단지,163
181,광고,163
182,자율,162
183,금융위,162
184,국제,160
185,유럽,159
186,브리핑,159
187,타이어,159
188,협약,157
189,환율,157
190,로봇,156
191,플랫폼,156
192,기관,156
193,청년,156
194,베트남,154
195,실시,153
196,국감,153
197,이마트,152
198,본격,152
199,국민,151
200,가능,150
201,안전,150
202,효과,149
203,상품,148
204,제품,148
205,활용,147
206,전쟁,147
207,집값,146
208,쇼핑,146
209,면세점,145
210,업무,145
211,화학,144
212,인공,144
213,부담,144
214,일본,143
215,위기,142
216,공동,141
217,셀트리온,141
218,통신,141
219,지능,140
220,공략,139
221,설립,139
222,스타트업,139
223,협회,139
224,구글,139
225,거래소,138
226,경쟁,138
227,행사,137
228,하이닉스,137
229,달러,137
230,구축,137
231,조선,137
232,주주,136
233,전기차,136
234,연구,136
235,비즈,136
236,전기,136
237,서울시,135
238,수입,135
239,창업,135
240,상장,134
241,운영,134
242,관련,134
243,제공,133
244,자동차,133
245,부진,133
246,피해,132
247,대책,132
248,이후,131
249,신약,131
250,대표이사,131
251,자산,131
252,제약,130
253,최종,129
254,평가,129
255,태양광,129
256,최저,129
257,계획,129
258,포럼,129
259,유통,128
260,협상,128
261,의료,127
262,갤럭시,127
263,금호,126
264,교수,125
265,급등,125
266,편의점,125
267,운용,125
268,발전,125
269,완화,125
270,건강,124
271,가능성,124
272,마트,124
273,기대,124
274,기아차,123
275,디스플레이,123
276,청약,123
277,예상,123
278,사용,122
279,교육,122
280,중소기업,121
281,수상,120
282,사고,120
283,현장,119
284,호텔,119
285,속도,119
286,회복,119
287,결제,118
288,국토부,118
289,환자,118
290,성공,118
291,수익,118
292,적자,117
293,대통령,117
294,애플,117
295,추석,115
296,급락,114
297,법인,114
298,인터넷,114
299,클라우드,113
300,주목,113
301,마케팅,112
302,인기,112
303,개편,112
304,소비자,112
305,배당,111
306,안정,110
307,연금,110
308,관세,110
309,지수,109
310,급증,109
311,조정,109
312,테크,109
313,물가,109
314,전략,109
315,중공업,108
316,뱅크,108
317,유지,108
318,내달,108
319,신청,108
320,수준,108
321,모델,106
322,위원장,106
323,부문,106
324,열사,106
325,문제,106
326,참여,106
327,데이터,106
328,쇼크,106
329,프리미엄,106
330,취업,106
331,철강,106
332,대형,105
333,남북,105
334,지속,105
335,대감,105
336,시티,105
337,한전,104
338,국가,104
339,두산,104
340,온라인,104
341,주행,104
342,인하,104
343,중단,104
344,인도,104
345,자회사,103
346,이주열,103
347,배터리,103
348,수수료,102
349,흑자,101
350,평균,101
351,스타,101
352,조성,100
353,임금,99
354,통합,99
355,진단,99
356,기자,99
357,기준,99
358,확보,99
359,비트코인,99
360,신한,98
361,특허,98
362,가동,98
363,환경,98
364,대신,98
365,점검,98
366,합의,98
367,전문,98
368,신설,98
369,필요,97
370,디지털,97
371,트럼프,96
372,출범,96
373,대응,95
374,논의,95
375,기반,95
376,수요,95
377,분쟁,95
378,변경,95
379,농협,94
380,집중,94
381,경매,94
382,당국,94
383,콘텐츠,94
384,대우,94
385,선물,94
386,가치,93
387,생활,93
388,갈등,93
389,인증,93
390,총재,92
391,요구,92
392,지주,92
393,주년,92
394,검사,92
395,한미,92
396,준비,91
397,신동빈,91
398,화재,91
399,도시,91
400,가장,90
401,삼바,90
402,스케,90
403,이용,90
404,손실,90
405,통상,90
406,지정,90
407,지급,89
408,가입,89
409,상승세,89
410,방안,89
411,제도,89
412,개인,89
413,년비,88
414,수첩,88
415,모집,88
416,전세,87
417,홈쇼핑,87
418,분석,87
419,산업부,87
420,부품,87
421,회의,87
422,비리,87
423,합병,86
424,시행,86
425,화장품,86
426,전력,86
427,대우건설,86
428,확정,86
429,출발,86
430,공인,85
431,민간,85
432,기재부,85
433,원장,85
434,혜택,85
435,폭탄,85
