,단어명,사설 빈도수
0,김정은,114
1,사람,81
2,트럼프,68
3,경제,67
4,국민,59
5,문화,57
6,중국,55
7,북한,52
8,정책,51
9,정상회담,51
10,자연,49
11,워싱턴,48
12,지문,46
13,전문,46
14,동서남북,46
15,비핵화,45
16,아트,45
17,무비,45
18,사물,45
19,김대식,45
20,남북,45
21,미국,43
22,식이,42
23,이야기,42
24,일자리,38
25,회담,37
26,원전,37
27,북핵,37
28,시로,36
29,나라,36
30,하나,35
31,논설,34
32,실의,34
33,김명환,34
34,세금,34
35,수첩,34
36,조선일보,33
37,마당,33
38,사회,33
39,세계,33
40,폐기,33
41,수사,33
42,최저임금,33
43,시대,32
44,제재,32
45,이한상,31
46,발굴,31
47,장관,30
48,드루,30
49,정권,29
50,대북,29
51,선의,29
52,노조,28
53,차이나,27
54,대한민국,27
55,대화,27
56,문제,27
57,강인,27
58,한반도,26
59,선언,25
60,선거,25
61,교육,25
62,전쟁,24
63,위기,24
64,경찰,24
65,고용,24
66,외교,24
67,규제,24
68,협상,24
69,양해,23
70,말글,23
71,탐험,23
72,소득,23
73,성장,23
74,평화,23
75,조각,23
76,환경,23
77,자유,23
78,개혁,23
79,평창,23
80,김대중,22
81,적폐,22
82,상목,22
83,스시,22
84,국가,22
85,강천석,21
86,유광,21
87,세상,21
88,서진영,21
89,명심보감,21
90,양상훈,21
91,산책,21
92,권력,21
93,훈련,21
94,이제,20
95,평양,19
96,조사,19
97,대법원,19
98,대한,19
99,역사,19
100,일본,19
101,압박,18
102,다른,18
103,보수,18
104,대책,18
105,미군,18
106,전문가,18
107,사업,17
108,주도,17
109,지금,17
110,공개,17
111,동맹,17
112,시장,17
113,박정훈,16
114,최악,16
115,검찰,16
116,코리아,16
117,가짜,16
118,방송,16
119,먼저,16
120,생각,16
121,시진핑,16
122,국방,16
123,댓글,16
124,사랑,15
125,안보,15
126,단체,15
127,혁신,15
128,합의,15
129,인권,15
130,시위,15
131,윤평중,15
132,문재인,15
133,인간,15
134,판사,15
135,한삼,15
136,걱정,15
137,대신,15
138,천안함,15
139,올림픽,15
140,특사,15
141,특검,15
142,교육감,15
143,가지,14
144,거부,14
145,김창균,14
146,김정운,14
147,청산,14
148,국민연금,14
149,태양광,14
150,터치,14
151,실패,14
152,최고,14
153,누가,14
154,투자,14
155,인상,14
156,교육부,14
157,침묵,14
158,계속,14
159,개헌,14
160,사용,14
161,결정,14
162,어디,14
163,김철중,13
164,행복,13
165,우려,13
166,포기,13
167,편지,13
168,여당,13
169,과거,13
170,특별,13
171,중단,13
172,전략,13
173,군사,13
174,진짜,13
175,논란,13
176,언론,13
177,사고,13
178,이름,13
179,주의,13
180,참사,13
181,노인,13
182,무역,13
183,통계,13
184,평창올림픽,13
185,미투,13
186,준비,12
187,인사,12
188,학교,12
189,철수,12
190,금지,12
191,정말,12
192,재판,12
193,거리,12
194,완화,12
195,거래,12
196,공무원,12
197,안전,12
198,김영철,12
199,위협,12
200,삼성,12
201,여론,12
202,운동,12
203,약속,12
204,폭탄,12
205,민노총,11
206,회의,11
207,반도체,11
208,병역,11
209,국회,11
210,위원장,11
211,언제,11
212,정상,11
213,산업,11
214,은행,11
215,유럽,11
216,류근일,11
217,영화,11
218,비리,11
219,게임,11
220,전기,11
221,도시,11
222,사건,11
223,리더십,11
224,카드,11
225,예술,11
226,철도,11
227,가장,11
228,이상,11
229,폼페이,11
230,출신,11
231,집값,11
232,싱가포르,11
233,위해,11
234,아파트,11
235,이용,11
236,바람,10
237,대기업,10
238,김광일,10
239,때문,10
240,시간,10
241,예산,10
242,취업,10
243,비판,10
244,이후,10
245,대학,10
246,기술,10
247,단속,10
248,폭력,10
249,혁명,10
250,자기,10
251,가을,10
252,비결,10
253,세기,10
254,종전,10
255,미세,10
256,현장,10
257,검토,10
258,불법,10
259,논의,10
260,주택,10
261,폐지,10
262,시설,10
263,대응,10
264,마음,10
265,조작,10
266,전교조,10
267,공약,10
268,효과,10
269,화폐,10
270,거짓말,10
271,교과서,10
272,민주주의,9
273,지원,9
274,세대,9
275,비밀,9
276,추락,9
277,통상,9
278,경쟁,9
279,소동,9
280,종교,9
281,하늘,9
282,아이,9
283,좌파,9
284,청년,9
285,대변인,9
286,수출,9
287,촛불,9
288,운전,9
289,경고,9
290,우파,9
291,관계,9
292,지역,9
293,관리,9
294,모든,9
295,과학,9
296,공기업,9
297,사실,9
298,제대로,9
299,모두,9
300,산업혁명,9
301,기적,9
302,하라,9
303,확대,9
304,원칙,9
305,개발,9
306,먼지,9
307,인생,9
308,현실,9
309,조치,9
310,다음,9
311,정신,9
312,야당,9
313,수도,9
314,여성,9
315,언급,9
316,학생,9
317,나무,9
318,정치인,9
319,식당,9
320,석탄,9
321,폐쇄,9
322,음악,9
323,선수,9
324,지방선거,9
325,정끝별,9
326,유치원,8
327,향연,8
328,미사일,8
329,건물,8
330,무엇,8
331,박물관,8
332,포퓰리즘,8
333,사태,8
334,택시,8
335,피해,8
336,금융,8
337,일기,8
338,주년,8
339,선물,8
340,이철민,8
341,관심,8
342,보복,8
343,조건,8
344,발표,8
345,바다,8
346,카페,8
347,비준,8
348,부터,8
349,공사,8
350,수준,8
351,위험,8
352,요청,8
353,월급,8
354,외면,8
355,서울시,8
356,무슨,8
357,방치,8
358,백제,8
359,테크,8
360,계리,8
361,방북,8
362,신고,8
363,죽음,8
364,얼굴,8
365,공격,8
366,판문점,8
367,자리,8
368,제도,8
369,체제,8
370,시한,8
371,이산가족,8
372,백악관,8
373,해외,8
374,예방,8
375,폭염,8
376,해결,8
