,단어명,정치 빈도수
0,김정은,682
1,남북,501
2,회담,494
3,비핵화,370
4,트럼프,362
5,정상회담,288
6,국회,284
7,북한,270
8,홍준표,266
9,선언,259
10,평양,230
11,속보,225
12,민주당,222
13,제재,218
14,합의,206
15,평화,200
16,장관,197
17,한미,196
18,안철수,189
19,훈련,186
20,김성태,183
21,논의,180
22,판문점,180
23,지방선거,177
24,대북,176
25,드루,171
26,경제,166
27,논란,162
28,한반도,153
29,대화,151
30,문제,141
31,선거,139
32,인사,138
33,통일부,137
34,방북,134
35,폼페이,131
36,여야,130
37,우리,128
38,의혹,128
39,평창,127
40,국민,125
41,특검,125
42,방문,122
43,이재명,121
44,협상,119
45,지원,118
46,통일,118
47,김영철,116
48,국방부,115
49,발언,113
50,정상,113
51,공동,112
52,개최,112
53,검토,112
54,중단,110
55,협의,110
56,이해찬,110
57,출마,110
58,군사,108
59,김병준,108
60,총리,108
61,회의,108
62,김경수,108
63,미국,106
64,보수,105
65,미군,104
66,북미,103
67,정책,102
68,강경화,102
69,국방,102
70,위원장,100
71,개헌,100
72,북핵,99
73,외교,98
74,외교부,97
75,싱가포르,96
76,준비,96
77,공개,95
78,전문가,93
79,발표,93
80,박원순,93
81,조명,92
82,반대,91
83,고위,89
84,폐기,89
85,보도,88
86,사퇴,86
87,협력,85
88,남북정상회담,85
89,김기식,85
90,중국,84
91,확인,84
92,특사,84
93,개헌안,84
94,요구,83
95,기무사,83
96,유승민,83
97,사실,82
98,지지율,81
99,수사,79
100,종전,77
101,위해,75
102,성장,75
103,최저임금,75
104,김문수,75
105,압박,74
106,가능성,74
107,안보,74
108,취소,74
109,조사,73
110,소득,73
111,임종석,73
112,조치,73
113,일자리,71
114,실무,71
115,추미애,71
116,처리,70
117,석탄,70
118,입장,69
119,인권,69
120,정권,69
121,정의용,69
122,단독,69
123,참석,68
124,주간조선,68
125,국가,68
126,행사,68
127,주도,67
128,유엔,67
129,통합,67
130,정당,66
131,결정,66
