,단어명,사회 빈도수
0,수사,428
1,의혹,405
2,속보,375
3,혐의,347
4,날씨,314
5,운세,314
6,음력,313
7,별세,302
8,법원,296
9,인사,289
10,재판,251
11,사건,251
12,드루,250
13,조사,249
14,구속,237
15,사망,222
16,화재,218
17,여성,217
18,징역,214
19,폭행,210
20,논란,198
21,압수수색,197
22,구속영장,189
23,검사,187
24,성추행,185
25,성폭행,172
26,영장,171
27,전국,171
28,개최,169
29,김경수,168
30,소환,164
31,특검,162
32,출석,160
33,아이,158
34,플라자,149
35,판사,146
36,삼성,139
37,병원,139
38,발견,136
39,안희정,135
40,댓글,130
41,사고,124
42,대법원,124
43,살인,123
44,공개,123
45,나은,123
46,태풍,121
47,변호사,118
48,무죄,118
49,미투,117
50,불법,111
51,미세먼지,110
52,선고,110
53,교수,109
54,피해,108
55,청구,105
56,기각,105
57,직원,104
58,인정,103
59,폭염,102
60,단독,101
61,최고,100
62,조작,99
63,방송,97
64,아파트,96
65,지금,96
66,살해,94
67,확정,93
68,신청,93
69,아들,91
70,노조,90
71,피해자,90
72,가족,90
73,사람,89
74,판결,89
75,소송,89
76,환자,88
77,이재명,87
78,부부,87
79,비리,87
80,뇌물,86
81,몰카,86
82,처벌,85
83,기소,85
84,사회,83
85,이사장,83
86,유출,82
87,서울시,82
88,교사,82
89,남성,82
90,모두,82
91,대법,81
92,시위,81
93,주말,81
94,배우,80
95,버스,79
96,성폭력,79
97,국정원,79
98,부장,78
99,지원,78
100,학회,78
101,채용,78
102,다스,78
103,거부,77
104,총장,76
105,남편,76
106,세계,76
107,바깥,76
108,아내,74
109,구형,74
110,실종,73
111,사장,73
112,서울대,72
113,아빠,72
114,부상,71
115,검거,71
116,체포,71
117,법정,71
118,고발,70
119,국민,70
120,문제,69
121,단체,69
122,항소심,69
123,박근혜,69
124,차량,67
125,시민,67
126,거래,67
127,유죄,67
128,추가,66
129,사과,66
130,증거,66
131,집회,66
132,실형,66
133,추락,64
134,횡령,63
135,인천,62
136,결정,62
137,심사,62
138,간부,62
139,하나,62
140,쌍둥이,61
141,장관,61
142,세월호,61
143,난민,61
144,현직,60
145,특활비,60
146,사법,59
147,사기,59
148,국내,59
149,의사,59
150,엄마,58
151,시신,58
152,피의자,58
153,일본,58
154,원장,58
155,출신,58
156,평창,58
157,석방,57
158,주민,57
159,건물,57
160,대법관,57
161,문화,57
162,확인,57
163,폭로,57
164,책임,56
165,국제,56
166,아기,56
167,정책,55
168,입건,55
169,신고,55
170,중국,55
171,추정,55
172,국가,55
173,연기,54
174,집단,54
175,부인,54
176,김부선,54
177,관련,54
178,강남,54
179,더위,54
180,사실,53
181,주장,53
182,청원,53
183,재단,53
184,벌금,52
185,택시,52
186,민노총,52
187,현장,52
188,위해,52
189,기온,52
190,공무원,51
191,유치원,51
192,이윤택,51
193,음주운전,50
194,고속도로,50
195,밀양,50
196,이야기,50
197,착수,50
198,자금,50
199,세종,49
200,학생,49
201,강제,49
202,공장,49
203,토요일,49
204,배상,49
205,기사,49
206,청탁,49
207,일요일,48
208,인권,48
209,연구원,48
210,가장,48
211,농단,48
212,금지,47
213,최저임금,47
214,사단,47
215,메르스,47
216,수요일,47
217,곳곳,47
218,월요일,47
219,중단,46
220,화요일,46
221,요구,46
222,포항,46
223,포럼,46
224,금요일,46
225,학교,46
226,목요일,46
227,그룹,46
228,이명박,46
229,업체,45
230,반대,45
231,결혼,45
232,주간조선,45
233,대한항공,45
234,범죄,44
235,이수연,44
236,방화,44
237,공사,44
238,여부,44
239,위원장,44
240,감독,44
241,공작,44
242,새벽,44
243,위반,43
244,시장,43
245,성희롱,43
246,흉기,43
247,헌재,43
248,남자,43
249,고소,43
250,경찰청장,43
251,영상,43
252,기록,43
253,의료,43
254,여고생,43
255,센터,42
256,차례,42
257,계속,42
258,긴급,42
259,집행유예,42
260,법무부,42
261,노인,42
262,양승태,42
263,최초,42
264,강원랜드,42
265,북한,41
266,송치,41
267,지진,41
268,수사반장,41
269,고용,41
270,명예,41
271,수술,41
272,개입,41
273,전자,41
274,지사,41
275,공항,41
276,대응,41
277,비서,41
278,가상,41
279,취소,40
280,산업,40
281,용의자,40
282,선수,40
283,교통사고,40
284,운동,40
285,정보,40
286,발표,40
287,어린이집,39
288,치료,39
289,양진호,39
290,경기,39
291,종인,39
292,재산,39
293,미국,39
294,영향,39
295,지하철,39
296,건강,39
297,정봉주,39
298,화폐,39
299,대한민국,38
300,시간,38
301,활동,38
302,국회,38
303,사상,38
304,취업,38
305,확대,38
306,수도권,38
307,협회,38
308,징계,38
309,이상,38
310,한진,38
311,연휴,38
312,워마드,38
313,남용,37
314,국정,37
315,회사,37
316,검토,37
317,관리,37
318,안전,37
319,충돌,37
320,대상,37
321,협박,37
322,할머니,37
323,사랑,37
324,여자,37
325,서초동,37
326,이혼,37
327,회의,37
328,세미나,36
329,음주,36
330,조치,36
331,한반도,36
332,대신,36
333,하늘,36
334,의심,36
335,정체,36
336,자택,36
337,공원,36
338,교육,36
339,위기,36
340,이재용,36
341,불구속,35
342,눈물,35
343,특별,35
344,구조,35
345,학술,35
346,가능성,35
347,기술,35
