,날짜,최저임금인상,날짜.1,일자리,통합,지수차
0,2018-01-01,15.61909,2018-01-01,3.8845400000000003,19.50363,-40.92996
1,2018-01-02,27.78527,2018-01-02,8.68626,36.47153,-48.487809999999996
2,2018-01-03,44.213640000000005,2018-01-03,9.0909,53.30454,-38.70088
3,2018-01-04,16.02373,2018-01-04,10.30482,26.32855,-72.45193
4,2018-01-05,100.0,2018-01-05,7.68815,107.68815000000001,14.056730000000016
5,2018-01-06,42.67601,2018-01-06,4.019419999999999,46.695429999999995,-19.158220000000007
6,2018-01-07,20.01618,2018-01-07,5.55705,25.57323,-37.29939
7,2018-01-08,33.072559999999996,2018-01-08,9.81926,42.891819999999996,-57.10817
8,2018-01-09,27.110870000000002,2018-01-09,11.0062,38.11707,-61.747420000000005
9,2018-01-10,49.85163,2018-01-10,9.46857,59.3202,-40.95079
10,2018-01-11,18.04693,2018-01-11,9.144860000000001,27.19179,-69.28516000000002
11,2018-01-12,75.74858,2018-01-12,8.38953,84.13811000000001,-6.241279999999989
12,2018-01-13,27.19179,2018-01-13,4.28918,31.48097,-29.901130000000002
13,2018-01-14,19.8813,2018-01-14,3.99244,23.873739999999998,-42.65742
14,2018-01-15,25.19557,2018-01-15,8.68626,33.88183,-64.22113999999999
15,2018-01-16,40.03237,2018-01-16,9.981110000000001,50.01348,-55.67757
16,2018-01-17,59.61694,2018-01-17,9.60345,69.22039,-38.50318
17,2018-01-18,22.444020000000002,2018-01-18,10.14297,32.58699,-72.83305
18,2018-01-19,62.39546,2018-01-19,7.93094,70.3264,-20.323989999999995
19,2018-01-20,23.41516,2018-01-20,4.34313,27.758290000000002,-39.17936999999999
20,2018-01-21,18.80226,2018-01-21,4.2352300000000005,23.037490000000002,-51.21723999999999
21,2018-01-22,18.127860000000002,2018-01-22,8.982999999999999,27.110860000000002,-79.52869999999999
22,2018-01-23,23.90072,2018-01-23,10.54761,34.44833,-77.74678
23,2018-01-24,47.26193,2018-01-24,9.60345,56.86538,-59.25927
24,2018-01-25,30.75263,2018-01-25,10.54761,41.30024,-66.15232
25,2018-01-26,19.099,2018-01-26,10.11599,29.21499,-97.61427
26,2018-01-27,18.69436,2018-01-27,5.82681,24.521169999999998,-64.36771
27,2018-01-28,18.69436,2018-01-28,5.637980000000001,24.332340000000002,-53.71643
28,2018-01-29,19.072020000000002,2018-01-29,10.250869999999999,29.32289,-87.07276999999999
29,2018-01-30,22.60588,2018-01-30,11.30294,33.90882,-95.63046
30,2018-01-31,19.23388,2018-01-31,10.38575,29.61963,-95.04161
31,2018-02-01,16.85999,2018-02-01,10.00809,26.86808,-96.84464000000003
32,2018-02-02,34.01672,2018-02-02,9.87321,43.88993,-74.53825
33,2018-02-03,59.805769999999995,2018-02-03,5.017530000000001,64.82329999999999,-14.851490000000013
34,2018-02-04,24.170479999999998,2018-02-04,4.20825,28.378729999999997,-42.48847
35,2018-02-05,14.86377,2018-02-05,9.360660000000001,24.22443,-71.16851000000001
36,2018-02-06,16.34745,2018-02-06,9.44159,25.78904,-73.66895
37,2018-02-07,17.39951,2018-02-07,9.981110000000001,27.38062,-80.61395000000002
38,2018-02-08,13.97356,2018-02-08,9.92716,23.90072,-75.69277
39,2018-02-09,15.8349,2018-02-09,7.364439999999999,23.19934,-66.09603999999999
40,2018-02-10,11.59967,2018-02-10,3.96547,15.56514,-50.424009999999996
41,2018-02-11,15.10655,2018-02-11,5.20636,20.312910000000002,-50.14778
42,2018-02-12,12.705689999999999,2018-02-12,8.25465,20.96034,-77.00713
43,2018-02-13,37.253840000000004,2018-02-13,8.68626,45.9401,-45.65880999999999
44,2018-02-14,33.66603,2018-02-14,6.69004,40.35607,-48.939319999999995
45,2018-02-15,11.24898,2018-02-15,3.18316,14.43214,-40.174899999999994
46,2018-02-16,9.0909,2018-02-16,2.85945,11.95035,-27.75154
47,2018-02-17,9.60345,2018-02-17,3.2910699999999995,12.89452,-36.969969999999996
48,2018-02-18,11.03318,2018-02-18,4.1543,15.18748,-49.04014999999999
49,2018-02-19,13.05637,2018-02-19,9.19881,22.25518,-81.40335
50,2018-02-20,12.32802,2018-02-20,9.44159,21.76961,-83.51492999999999
51,2018-02-21,11.410839999999999,2018-02-21,9.17183,20.58267,-76.70729
52,2018-02-22,12.81359,2018-02-22,8.25465,21.06824,-81.37078
53,2018-02-23,11.08713,2018-02-23,8.38953,19.476660000000003,-75.37428
54,2018-02-24,9.81926,2018-02-24,4.50499,14.32425,-56.94944999999999
55,2018-02-25,10.70946,2018-02-25,4.2622,14.97166,-55.48903
56,2018-02-26,12.59778,2018-02-26,8.3086,20.90638,-75.97708000000002
57,2018-02-27,13.75775,2018-02-27,10.14297,23.90072,-94.66295
58,2018-02-28,13.272179999999999,2018-02-28,9.79228,23.064459999999997,-93.4667
59,2018-03-01,11.38386,2018-03-01,6.1775,17.56136,-73.63103999999998
60,2018-03-02,13.838679999999998,2018-03-02,7.0677,20.90638,-81.12613
61,2018-03-03,14.05449,2018-03-03,5.31427,19.368759999999998,-62.745050000000006
62,2018-03-04,13.29916,2018-03-04,6.12355,19.422710000000002,-67.16265000000001
63,2018-03-05,14.59401,2018-03-05,10.76342,25.35743,-92.66424
64,2018-03-06,11.275960000000001,2018-03-06,12.2471,23.52306,-98.69915999999999
65,2018-03-07,12.40895,2018-03-07,10.95225,23.3612,-101.84204000000001
66,2018-03-08,12.32802,2018-03-08,10.601560000000001,22.92958,-104.17069
67,2018-03-09,12.732660000000001,2018-03-09,9.7653,22.49796,-95.93020999999999
68,2018-03-10,11.84246,2018-03-10,5.96169,17.80415,-70.00072
69,2018-03-11,13.05637,2018-03-11,5.66495,18.72132,-77.89114000000001
70,2018-03-12,14.32425,2018-03-12,11.24898,25.57323,-107.62460000000002
71,2018-03-13,12.16617,2018-03-13,11.5727,23.73887,-115.96302
72,2018-03-14,12.89452,2018-03-14,9.46857,22.36309,-102.02714
73,2018-03-15,11.43782,2018-03-15,10.27785,21.715670000000003,-100.23554
74,2018-03-16,11.7885,2018-03-16,9.5495,21.338,-86.25005999999999
75,2018-03-17,11.84246,2018-03-17,5.66495,17.50741,-59.99935
76,2018-03-18,12.86754,2018-03-18,6.12355,18.99109,-71.2528
77,2018-03-19,12.921489999999999,2018-03-19,10.35878,23.280269999999998,-99.48395
78,2018-03-20,12.32802,2018-03-20,9.41462,21.74264,-97.76954
79,2018-03-21,12.89452,2018-03-21,10.574580000000001,23.4691,-94.28156999999999
80,2018-03-22,13.218229999999998,2018-03-22,10.3318,23.55003,-91.21961000000002
81,2018-03-23,10.62854,2018-03-23,7.93094,18.55948,-80.62751
82,2018-03-24,8.55138,2018-03-24,5.09846,13.649840000000001,-64.53443
83,2018-03-25,11.08713,2018-03-25,6.3933,17.48043,-75.74449
84,2018-03-26,10.97922,2018-03-26,9.46857,20.447789999999998,-102.72293000000002
85,2018-03-27,13.19125,2018-03-27,12.112219999999999,25.303469999999997,-106.26832999999999
86,2018-03-28,16.67116,2018-03-28,11.92338,28.594540000000002,-103.79027000000002
87,2018-03-29,16.45535,2018-03-29,11.76153,28.21688,-104.70992999999999
88,2018-03-30,23.06447,2018-03-30,10.35878,33.423249999999996,-85.95343
89,2018-03-31,19.55759,2018-03-31,6.47423,26.031820000000003,-61.09554000000001
90,2018-04-01,13.32613,2018-04-01,7.337460000000001,20.66359,-84.07895
91,2018-04-02,15.43026,2018-04-02,10.46668,25.89694,-96.18977000000001
92,2018-04-03,13.407060000000001,2018-04-03,10.97922,24.38628,-102.17198
93,2018-04-04,15.67305,2018-04-04,14.99865,30.6717,-116.07626
94,2018-04-05,15.349329999999998,2018-04-05,12.86754,28.21687,-116.36307
95,2018-04-06,11.76153,2018-04-06,12.32802,24.089550000000003,-103.14621
96,2018-04-07,11.5727,2018-04-07,7.12166,18.69436,-81.03462999999999
97,2018-04-08,12.86754,2018-04-08,8.76719,21.634729999999998,-91.50889000000001
98,2018-04-09,14.24332,2018-04-09,14.08146,28.32478,-119.10067999999998
99,2018-04-10,28.001070000000002,2018-04-10,13.002419999999999,41.00349,-105.87997000000001
100,2018-04-11,32.34421,2018-04-11,13.164279999999998,45.508489999999995,-100.29096000000001
101,2018-04-12,16.83301,2018-04-12,12.89452,29.72753,-117.96893
102,2018-04-13,12.43593,2018-04-13,12.05826,24.494190000000003,-109.11014
103,2018-04-14,14.216339999999999,2018-04-14,10.41273,24.62907,-142.03758999999997
104,2018-04-15,15.295379999999998,2018-04-15,13.46101,28.756389999999996,-126.66365
105,2018-04-16,17.64229,2018-04-16,17.45346,35.095749999999995,-161.92322000000001
106,2018-04-17,15.99676,2018-04-17,18.04693,34.04369,-158.50372000000002
107,2018-04-18,16.4014,2018-04-18,15.8349,32.2363,-142.56043
108,2018-04-19,17.480439999999998,2018-04-19,13.7038,31.184239999999996,-127.75884000000002
109,2018-04-20,15.727,2018-04-20,9.60345,25.33045,-89.16818
110,2018-04-21,10.95225,2018-04-21,5.8807599999999995,16.833009999999998,-72.46236999999999
111,2018-04-22,11.43782,2018-04-22,6.770969999999999,18.20879,-82.87521000000001
