,날짜,성평등,날짜.1,젠더폭력,통합,지수차
0,2018-01-01,8.72395,2018-01-01,11.0677,19.79165,3.66263
1,2018-01-02,7.03125,2018-01-02,34.11458,41.14583,13.565189999999998
2,2018-01-03,6.11979,2018-01-03,63.15104,69.27083,39.27084000000001
3,2018-01-04,6.25,2018-01-04,43.35937,49.60937,19.931959999999997
4,2018-01-05,9.11458,2018-01-05,42.1875,51.302080000000004,25.818220000000004
5,2018-01-06,7.55208,2018-01-06,16.66666,24.21874,5.670360000000002
6,2018-01-07,5.98958,2018-01-07,22.265620000000002,28.255200000000002,6.319730000000003
7,2018-01-08,9.11458,2018-01-08,62.5,71.61458,33.2275
8,2018-01-09,5.46875,2018-01-09,61.58854,67.05729,30.283109999999994
9,2018-01-10,6.3802,2018-01-10,46.875,53.2552,17.771340000000002
10,2018-01-11,7.55208,2018-01-11,43.35937,50.91145,16.395340000000004
11,2018-01-12,5.859369999999999,2018-01-12,37.76041,43.61978,13.619789999999995
12,2018-01-13,4.296869999999999,2018-01-13,15.234370000000002,19.53124,-0.30745999999999896
13,2018-01-14,4.296869999999999,2018-01-14,16.53645,20.833319999999997,-4.650540000000003
14,2018-01-15,7.29166,2018-01-15,37.5,44.79166,14.630379999999999
15,2018-01-16,11.58854,2018-01-16,41.27604,52.864580000000004,16.251680000000007
16,2018-01-17,5.859369999999999,2018-01-17,36.84895,42.70832,7.869619999999998
17,2018-01-18,9.63541,2018-01-18,40.49479,50.1302,17.38828
18,2018-01-19,8.07291,2018-01-19,37.5,45.57291,19.2826
19,2018-01-20,5.72916,2018-01-20,19.40104,25.1302,4.0011800000000015
20,2018-01-21,4.03645,2018-01-21,16.14583,20.18228,-4.172550000000001
21,2018-01-22,5.59895,2018-01-22,43.22916,48.82811,18.18296
22,2018-01-23,7.421869999999999,2018-01-23,46.875,54.29687,21.877519999999997
23,2018-01-24,8.85416,2018-01-24,41.40625,50.26041,9.615249999999996
24,2018-01-25,7.55208,2018-01-25,48.69791,56.24999,16.08871
25,2018-01-26,7.55208,2018-01-26,49.60937,57.16145,10.225969999999997
26,2018-01-27,7.8125,2018-01-27,25.0,32.8125,-2.832650000000001
27,2018-01-28,6.77083,2018-01-28,20.4427,27.21353,-5.528399999999998
