,단어명,빈도수
0,일자리,250
1,채용,141
2,비리,112
3,청년,91
4,카풀,88
5,시험,85
6,고용,83
7,반대,75
8,정규직,73
9,국민,64
10,공인,62
11,중개사,62
12,취업,57
13,경제,54
14,세습,52
15,조사,49
16,청원,48
17,인척,47
18,교사,46
19,정책,45
20,처벌,41
21,카카오,39
22,대한민국,38
23,불법,38
24,공무원,37
25,문제,36
26,대한,36
27,외국인,36
28,제도,35
29,폐지,34
30,공공기관,34
31,직원,34
32,공기업,34
33,전환,34
34,최저임금,33
35,비정규직,33
36,약탈,33
37,임금,31
38,택시,28
39,국가,28
40,하청,27
41,나라,26
42,노동자,26
43,단속,26
44,노조,25
45,국민은행,25
46,근로자,25
47,해결,25
48,불체,25
49,관련,24
50,사업,24
51,세력,24
52,건설,23
53,회사,22
54,은행,22
55,간호사,22
56,업체,22
57,위해,21
58,요청,21
59,사람,21
60,전수,21
61,백만,21
62,사회,20
63,개선,20
64,문재인,20
65,시급,19
66,제발,19
67,근로,19
68,대해,19
69,근무,19
70,보호,18
71,산업,18
72,의사,18
73,하라,18
74,지금,18
75,우리,18
76,공사,18
77,양성,18
78,장애인,17
79,실업,17
80,현장,17
81,대책,17
82,정원,17
83,소득,16
84,갑질,16
85,추방,16
86,알바,16
87,교통,16
88,중소기업,15
89,서민,15
90,경찰,15
91,공단,15
92,불법체류자,15
93,해고,15
94,일본,15
95,대기업,14
96,교육,14
97,정권,14
98,지원,14
99,제한,14
100,기간,14
101,요구,14
102,제안,14
103,유치원,14
104,생각,14
105,영업,14
106,입학,14
107,기사,13
108,최저,13
109,손녀,13
110,금지,13
111,부동산,13
112,신규,13
113,이제,13
114,젊은이,13
115,현실,13
116,임원,12
117,인력,12
118,고발,12
119,택배,12
120,자동차,12
121,업자,12
122,지역,12
123,관리,11
124,서비스,11
125,파면,11
126,세금,11
127,우선,11
128,시행,11
129,계약,11
130,때문,11
131,처리,11
132,당장,11
133,호소,11
134,호봉,11
135,청산,10
136,촛불,10
137,지방,10
138,전자,10
139,열사,10
140,직장,10
141,방법,10
142,법인,10
143,자영,10
144,집단,10
145,국회,10
146,이상,10
147,폭락,10
148,용역,10
149,여러분,10
150,전체,9
151,귀족,9
152,상담사,9
153,촉구,9
154,정년,9
155,방안,9
156,일자,9
157,체불,9
158,보험,9
159,비자,9
160,한국사,9
161,상담,9
162,간호,9
163,해외,9
164,기업은행,9
165,피해자,9
166,장하,9
167,전부,9
168,기관,9
169,적용,8
170,사장,8
171,반드시,8
172,현대,8
173,노인,8
174,현대차,8
175,횡포,8
176,필요,8
177,민주,8
178,노총,8
179,직업,8
180,검찰,8
181,희망,8
182,시장,8
183,공제,8
184,사기,8
185,제대로,8
186,인상,8
187,능력,8
188,외국,8
189,영양사,8
190,영양,8
191,퇴직금,8
192,무기계약직,8
193,로스쿨,8
194,대하,8
195,범죄,8
196,회복,8
197,문제점,8
198,경력,8
199,시간,8
200,복지,8
201,횃불,8
202,경비원,7
203,조선,7
204,모두,7
205,먼저,7
206,수사,7
207,개인,7
208,환경,7
209,공장,7
210,보장,7
211,한번,7
212,집행유예,7
213,가짜,7
214,권력,7
215,지급,7
216,퇴직,7
217,판매,7
218,여성,7
219,현재,7
220,적폐,7
221,검토,7
222,센터,7
223,단기,7
224,해체,7
225,정해,7
226,일용직,7
227,기회,7
228,처우,7
229,아파트,7
230,계속,7
231,연장,7
232,노력,7
233,결혼,7
234,공약,7
235,원금,7
236,콜센터,7
237,도입,7
238,사항,7
239,해도,7
240,행태,7
241,창업,7
242,주도,7
