,Title,Date,count
0,여자도 군대를 가야합니다.,18.11.16,7명
1,남녀차별법을 강화해주세요,18.11.16,1명
2,‘묻지마 폭행’이라며 지나쳐온 많은 범죄의 혐오성을 인정해주십시오.,18.11.16,5명
3,이제 '남성'들도 국가에 요구합니다,18.11.16,734명
4,양구 전방초소 사건 진상규명 촉구,18.11.16,41명
5,"중증장애인 가족 ""장애인활동지원서비스"" 허용 해 주십시오.",18.11.16,5명
6,군대)강원도 양구 GP서 총기사고,18.11.16,29명
7,"문대통령님, 조선일보 사장가족의 갑질행위 적폐중의 적폐입니다.",18.11.16,6명
8,이수역 사건 두 자매를 처벌해주세요,18.11.16,104명
9,여성들 국방세도입 해서 성평등 실현해주세요,18.11.16,10명
10,"문제인 대통령님,제발 양성 갈등을 막아주세요.",18.11.16,4명
11,181116_궁금한이야기Y에 나온 불법촬영 및 강간 협박한 최군 신상 공개및 처벌 을 청원합니다,18.11.16,26명
12,이수역 성희롱 가해자 여성 처벌해주세요!,18.11.16,97명
13,담배는 왜? 판매 하나요?,18.11.16,5명
14,"문재인 대통령님,제발 우리나라가 증오의 구렁텅이로 빠지지 않게 해주세요",18.11.16,4명
15,산이 노래를 듣고 얼마나 남성들이 역차별받고 살았는지 깨달았습니다,18.11.16,32명
16,TJ 미디어에 패션시티 수록되게 해주세요,18.11.16,0명
17,소방관부부 5세 딸 치어 숨지게 한 40대 항소,18.11.16,26명
18,양진호 갑질은 갑질 축에도 못듭니다 북부서 김용섭 경장(04년당시) 의 갑질을 조사하여 주십시요,18.11.16,16명
19,이수역 성희롱 사건의 진상규명 요청,18.11.16,38명
20,"문재인 대통령님,제발 우리나라가 증오의 구렁텅이로 빠지지 않게 해주세요",18.11.16,10명
21,유투,18.11.16,3명
22,유투,18.11.16,2명
23,수사관 검사 판사의 조직적은 증거조작에 의한 억을한 판결에 대하여 재심을 받게 해 주세요,18.11.16,1명
24,"남녀 성 갈등을 유발하는 메갈, 워마드, 일베 등 특정 사이트를 불법으로 지정해주세요",18.11.16,25명
25,너무 여자들만의 얘기를 들어주니 남자들이 괜한 피해자가 되는 사례가 많이 있네요.,18.11.16,5명
26,이수역주점  남성혐호사건,18.11.16,34명
27,"조폭의교사살인, 혐의없음. 재조사할것",18.11.16,1명
28,디지털 성범죄 근절을 하기 위하여 미투 입법이 필요한 이유가 무엇입니까?,18.11.16,2명
29,여러분 ~ 이수역사건 여자가 자백햇답니다~우리 페미들 어쩌나~,18.11.16,14명
30,대한민국이란 나라를 남자와 여자로 이분하는 메갈을 처벌해 주세요,18.11.16,15명
31,[이수역 폭행사건 제대로 정황을 밝혀주세요.],18.11.16,24명
32,남성 인권도 챙겨주십시오..,18.11.16,6명
33,이수역 폭행사건,18.11.16,7명
