,날짜,제목
0,2018.11.13 (화),'삼성 불법파견 은폐 의혹' 정현옥 전 차관 재판에
1,2018.11.13 (화),"'횡령·배임 혐의' 부영 이중근 회장, 1심서 징역5년·벌금1억"
2,2018.11.13 (화),"""손흥민 일주일에 2억원씩 받는다""…팀 내 '연봉 3위'"
3,2018.11.13 (화),서울·세종 등 5곳에 자치경찰제 도입… 2022년까지 4만3000명 자치경찰로
4,2018.11.13 (화),"검찰, '사법행정권 남용 의혹' 임종헌 14일 재판에"
5,2018.11.13 (화),스승의 은혜는 높기만...해남 산이동초14회의 특별한 모임
6,2018.11.13 (화),"[주기자의 그날 1면] 북한이 미사일을 쐈다, 1면이 뒤집어졌다"
7,2018.11.13 (화),"조희연 ""숙명여고, 쌍둥이 학생 퇴학·교무부장 파면"" 권고"
8,2018.11.13 (화),"젝키 강성훈, 팬들에게 사기·횡령 혐의로 피소… 강성훈 측 ""사실과 달라"""
9,2018.11.13 (화),용역 줘놓고 자문료 받은 법제처 국장…대법서 '뇌물' 확정
10,2018.11.13 (화),"숙명여고 문제유출 사건, 서울중앙지검 형사7부가 수사"
11,2018.11.13 (화),"경찰대 개혁 시동…""편입 허용하고 학비·군혜택 지원도 폐지"""
12,2018.11.13 (화),"서울시, 15일부터 택시 승차거부 직접 처벌"
13,2018.11.13 (화),소방시설 제대로 작동했나…'국일 고시원' 2차 합동감식 실시
14,2018.11.13 (화),"'SK 우승'에 박용만 두산 회장 ""최태원 회장 기분 좋겠네"""
15,2018.11.13 (화),고시원 참사 7명 중 4명이 '無 빈소'…떠날 때도 쓸쓸했다
16,2018.11.13 (화),"경찰, '불법 정치후원금 의혹' 한어총 압수수색"
17,2018.11.13 (화),[속보]'불법 정치후원 의혹' 한국어린이집총연합회 압수수색
18,2018.11.13 (화),[오늘의 사건] '동덕여대 알몸男' 기소 의견으로 검찰 송치 예정
19,2018.11.13 (화),구두깔창에 필로폰 숨겨 밀수 중국인 징역형
