,사회단어
0,"('명', 837)"
1,"('외', 816)"
2,"('오늘', 755)"
3,"('경찰', 644)"
4,"('검찰', 550)"
5,"('한국', 434)"
6,"('수사', 428)"
7,"('의혹', 405)"
8,"('전', 389)"
9,"('속보', 375)"
10,"('서울', 348)"
11,"('혐의', 347)"
12,"('날씨', 314)"
13,"('운세', 314)"
14,"('음력', 313)"
15,"('별세', 302)"
16,"('법원', 296)"
17,"('인사', 289)"
18,"('등', 288)"
19,"('더', 276)"
20,"('킹', 253)"
21,"('재판', 251)"
22,"('사건', 251)"
23,"('드루', 250)"
24,"('조사', 249)"
25,"('대통령', 241)"
26,"('구속', 237)"
27,"('회장', 236)"
28,"('것', 229)"
29,"('도', 226)"
30,"('사망', 222)"
31,"('화재', 218)"
32,"('여성', 217)"
33,"('징역', 214)"
34,"('중', 214)"
35,"('폭행', 210)"
36,"('논란', 198)"
37,"('압수수색', 197)"
38,"('구속영장', 189)"
39,"('안', 187)"
40,"('검사', 187)"
41,"('첫', 187)"
42,"('성추행', 185)"
43,"('심', 183)"
44,"('성폭행', 172)"
45,"('영장', 171)"
46,"('전국', 171)"
47,"('개최', 169)"
48,"('김경수', 168)"
49,"('소환', 164)"
50,"('특검', 162)"
51,"('비', 160)"
52,"('출석', 160)"
53,"('아이', 158)"
54,"('때', 154)"
55,"('또', 154)"
56,"('정부', 154)"
57,"('개', 150)"
58,"('플라자', 149)"
59,"('판사', 146)"
60,"('미래', 142)"
61,"('내', 141)"
62,"('삼성', 139)"
63,"('병원', 139)"
64,"('발견', 136)"
65,"('우리', 135)"
66,"('안희정', 135)"
67,"('후', 134)"
68,"('범', 134)"
69,"('세', 134)"
70,"('의', 131)"
71,"('왜', 131)"
72,"('댓글', 130)"
73,"('불', 127)"
74,"('제주', 125)"
75,"('사고', 124)"
76,"('대법원', 124)"
77,"('살인', 123)"
78,"('공개', 123)"
79,"('나은', 123)"
80,"('위', 122)"
81,"('태풍', 121)"
82,"('변호사', 118)"
83,"('무죄', 118)"
84,"('미투', 117)"
85,"('개월', 115)"
86,"('듯', 113)"
87,"('불법', 111)"
88,"('제', 111)"
89,"('박', 111)"
90,"('미세먼지', 110)"
91,"('선고', 110)"
92,"('교수', 109)"
93,"('피해', 108)"
94,"('그', 108)"
95,"('차', 107)"
96,"('최', 107)"
97,"('땅', 106)"
98,"('청구', 105)"
