,단어명,빈도수
0,한국,138
1,삼성,114
2,기업,71
3,브리핑,70
4,금융,70
5,코노,69
6,톡톡,69
7,일상,68
8,등,57
9,회장,54
10,외,53
11,명,52
12,김동연,52
13,출시,50
14,지원,49
15,위,49
16,그룹,47
17,혁신,45
18,경제,45
19,정부,45
20,고용,44
21,증가,42
22,농협,42
23,일자리,41
24,대출,41
25,채용,40
26,개최,40
27,최대,38
28,인상,38
29,시장,37
30,수출,37
31,플러스,37
32,개발,36
33,중,36
34,개월,36
35,사업,35
36,전자,34
37,공개,34
38,소득,34
39,증권,34
40,투자,33
41,성장,32
42,금감원,32
43,첫,31
44,김현주,31
45,산업,31
46,더,31
47,청년,31
48,금리,30
49,사,30
50,논란,30
51,최고,30
52,국내,29
53,기술,28
54,대한항공,28
55,개,27
56,것,27
57,주,27
58,공정위,27
59,관리,27
60,의혹,27
61,해외,27
62,중소기업,27
63,직원,26
64,차,26
65,곳,26
66,현대,26
67,최저임금,26
68,롯데,25
69,확대,25
70,한진,25
71,노조,25
72,총수,24
73,판매,24
74,전,24
75,세계,24
76,제,24
77,업계,23
78,주택,23
79,은행,23
80,드론,23
81,법정관리,23
82,조현민,22
83,관세,22
84,압수수색,22
85,강화,22
86,진행,22
87,비리,22
88,경영,21
89,업체,21
90,규제,21
91,서비스,21
92,지역,21
93,가격,21
94,올해,20
95,창업,20
96,새,20
97,혐의,20
98,현대차,20
99,안,20
100,협력,20
101,생산,19
102,김상조,19
103,포스코,19
104,달,19
105,주식,19
106,실시,19
107,필요,19
108,개선,18
109,배,18
110,위기,18
111,평균,18
112,가계,18
113,국민연금,18
114,합의,18
115,때,18
116,값,18
117,추진,18
118,대기업,18
119,중국,17
120,화폐,17
121,현장,17
122,조사,17
123,비,17
124,세,17
125,건강,17
126,사태,17
127,시스템,17
128,률,17
129,또,17
130,노사,17
131,산,17
132,구본무,17
133,시대,16
134,무역,16
135,점,16
136,서울,16
137,및,16
138,공장,16
139,역대,16
140,이상,16
141,후,16
142,이재용,16
143,진에어,15
144,경기,15
145,가상,15
146,못,15
147,우려,15
148,대응,15
149,취업,15
150,공단,15
