,단어명,빈도수
0,것,3825
1,북한,1955
2,정부,1690
3,대통령,1387
4,수,1386
5,등,1289
6,미국,1127
7,고,1087
8,비핵화,915
9,어제,845
10,우리,793
11,이,780
12,북,778
13,전,723
14,정책,717
15,말,696
16,청와대,673
17,한국,647
18,문제,637
19,기업,637
20,국민,624
21,명,624
22,김,559
23,제,556
24,경제,549
25,위,542
26,그,518
27,문재인,513
28,대한,501
29,국가,484
30,남북,471
31,대북,470
32,이번,445
33,중,424
34,중국,422
35,핵,419
36,안,413
37,지난해,411
38,때,408
39,더,407
40,관련,405
41,일자리,402
42,문,401
43,상황,401
44,장관,400
45,제재,395
46,위해,392
47,최저임금,390
48,수사,388
49,정상회담,385
50,일,382
51,국회,381
52,대해,380
53,를,374
54,안보,360
55,이후,353
56,위원장,352
57,트럼프,348
58,지난,339
59,사실,337
60,한반도,331
61,합의,330
62,의원,329
63,회담,328
64,평화,321
65,고용,318
66,인상,312
67,조치,297
68,로,295
69,협상,295
70,대화,292
71,검찰,288
72,게,287
73,의혹,286
74,사건,284
75,결과,283
76,때문,281
77,대표,280
78,선언,277
79,선,272
80,달,266
81,발표,263
82,의,263
83,개혁,263
84,간,260
85,소득,256
86,통해,253
87,데,253
88,요구,253
89,조사,253
90,추진,251
91,사회,246
92,정치,245
93,우려,244
94,규제,244
95,일본,241
96,이유,239
97,개,238
98,점,236
99,뒤,234
100,건,233
101,두,232
102,대책,231
103,시장,230
104,성장,230
105,회의,230
106,북핵,230
107,민주당,229
108,세계,228
109,경찰,228
110,일이,225
111,주장,222
112,올해,221
113,투자,220
114,위원회,218
115,최근,217
116,이상,212
117,인사,206
118,모두,206
119,산업,204
120,관,202
121,차,202
122,논의,199
123,입장,198
124,며,197
125,법,196
126,결정,196
127,내용,195
128,단,195
129,협력,195
130,비판,193
131,내,192
132,시작,191
133,앞,191
134,개선,191
135,특검,190
136,폐기,189
137,전쟁,188
138,댓글,187
139,외교,185
140,개월,184
141,방안,184
142,곳,180
143,대응,179
144,원전,179
145,가능성,178
146,노조,178
147,확인,178
148,여당,177
149,현실,176
150,남북정상회담,176
151,논란,175
152,못,175
153,정상,175
154,킹,174
155,위기,173
156,사태,172
157,지원,172
158,드루,172
159,후,171
160,비,171
161,공개,170
162,과정,168
163,압박,165
164,책임,165
165,만큼,165
166,지금,164
167,노동,163
168,미군,163
169,수준,162
170,국내,161
171,사업,159
172,생각,159
173,예산,158
174,후보,158
175,지난달,155
176,포함,155
177,무역,154
178,위협,153
179,뜻,152
180,여야,152
181,증가,150
182,중단,150
183,자유,149
184,또,149
185,제기,148
186,하나,148
187,확대,148
188,김정은,148
189,약속,148
190,의지,148
191,앞서,147
192,다시,146
193,협의,145
194,관계,145
195,서울,144
196,국제사회,144
197,발언,143
198,마련,142
199,도널드,142
200,경우,141
201,계획,141
202,검토,141
203,훈련,140
204,재판,140
205,재정,138
206,세,138
207,내년,137
208,감소,137
209,보고,137
210,대상,137
211,정권,136
212,인권,136
213,부담,136
214,검증,136
215,판문점,136
216,회,135
217,규모,134
218,고위,134
219,군사,133
220,지적,133
221,나라,132
222,뿐,132
223,사람,132
224,동맹,132
225,다른,132
226,방문,132
227,차례,132
228,국제,131
229,번,131
230,처음,131
231,지역,130
232,종전,129
233,률,128
234,대한민국,128
235,오늘,128
236,오,128
237,정도,128
238,조작,128
239,야당,127
240,유엔,127
241,핵심,127
242,가장,126
243,연합,126
244,준비,125
245,남북관계,125
246,평가,124
247,추가,124
248,재,124
249,기준,123
250,최대,123
251,시간,123
252,해결,123
253,대법원,123
254,친,122
255,사안,122
256,생산,121
257,도,121
258,이행,121
259,국정,120
260,공조,120
261,기간,119
262,진행,119
263,권력,119
264,폼페이,119
265,무엇,118
266,전환,118
267,행사,118
268,빚,118
269,혐의,118
270,계속,117
271,당시,117
272,판단,116
273,기관,116
274,모든,116
275,배,116
276,단체,116
277,대선,116
278,체제,116
279,탓,115
280,정,115
281,취업,115
282,국방,115
283,제대로,114
284,비롯,114
285,원장,113
286,후보자,113
287,전국,113
288,활동,113
289,적,113
290,제도,113
291,특별,112
292,전략,112
293,당,112
294,남,112
295,관세,112
296,선거,111
297,평양,111
298,헌법,111
299,의견,110
300,완화,110
301,분석,108
302,미사일,108
303,라며,108
304,최고,107
305,은,107
306,경기,107
307,회장,107
