,단어명,빈도수
0,대통령,451
1,한국,232
2,문,165
3,정부,119
4,홍준표,114
5,것,111
6,안희정,109
7,검찰,108
8,의혹,106
9,민주,104
10,개헌,100
11,수사,100
12,국민,99
13,출마,93
14,개헌안,88
15,조사,82
16,남북,82
17,전,78
18,의원,78
19,대표,74
20,구속,73
21,여야,73
22,통합,72
23,정치,71
24,국정원,71
25,지방선거,68
26,평창,68
27,박근혜,67
28,명,66
29,안,66
30,국회,65
31,국민의당,65
32,미래,64
33,평화,62
34,단,62
35,회담,61
36,안철수,61
37,다스,61
38,민주당,58
39,국정,58
40,정당,58
41,총리,55
42,등,53
43,성추행,52
44,청와대,51
45,선거,50
46,미투,50
47,유승민,48
48,발의,48
49,첫,47
50,정봉주,47
51,우원식,45
52,후보,45
53,대책,44
54,최,42
55,특활비,41
56,대화,41
57,서울시장,40
58,입장,40
59,혐의,40
60,추진,40
61,이명박,39
62,출석,39
63,후,39
64,지지율,39
65,위,38
66,검토,38
67,대북,38
68,재판,38
69,사퇴,38
70,올림픽,38
71,논란,37
72,김성태,37
73,중,37
74,경찰,37
75,당,37
76,성폭행,37
77,가상,37
78,선언,36
79,말,36
80,팀,36
81,영장,35
82,실,35
83,김영철,35
84,평창올림픽,35
85,논의,34
86,의,34
87,제,34
88,사실,34
89,결정,34
90,권력,34
91,회,34
92,뇌물,34
93,소환,34
94,북한,34
95,일,33
96,불,33
97,보복,33
98,화폐,33
99,재,32
100,발언,31
101,추미애,31
102,시작,30
103,수,30
104,정의당,30
105,사건,30
106,심,30
107,가능성,30
108,로,30
109,회의,30
110,김여정,29
111,심사,28
112,공동,28
113,지사,28
114,파,28
115,듯,27
116,합의,27
117,김정은,27
118,협의,27
119,또,27
120,북미,27
121,차,27
122,박수현,27
123,법,26
124,인정,26
125,관계,26
126,정권,26
127,보고,26
128,참석,26
129,정책,25
130,방,25
131,고위,25
132,개,25
133,특사,25
134,박지원,25
135,반대,25
136,트럼프,24
137,문재인,24
138,여부,24
139,요구,24
140,농단,24
141,자금,24
142,문제,24
143,징역,24
144,대응,24
145,관련,24
146,추가,23
147,확정,23
148,때,23
149,불법,23
150,병,23
151,사과,22
152,댓글,22
153,구속영장,22
154,선고,22
155,정,22
156,김,22
157,보도,22
158,장관,22
159,의원직,22
160,김윤옥,21
161,재산,21
162,박원순,21
163,발표,21
164,비,21
165,오후,21
166,청구,21
167,생각,21
168,내,21
169,국가,21
170,남경필,21
171,책임,21
172,검사,20
173,압수수색,20
174,시간,20
175,지역,20
176,더,20
177,구조,20
178,청원,20
179,환영,20
180,성폭력,20
181,하나,20
182,복당,20
183,접촉,20
184,단일,20
185,확인,19
186,서울,19
187,처리,19
188,결과,19
189,취소,19
190,방문,19
191,설,19
192,경기,19
193,준,19
194,선,18
195,협상,18
196,압박,18
197,보수,18
198,공천,18
199,교섭단체,18
200,위원장,18
201,투표,18
202,한반도,18
203,출발,18
204,달라,18
205,주장,18
206,내일,18
207,혁신,18
208,위해,18
209,중단,18
210,준비,18
211,민,18
212,경제,18
213,언급,18
214,임종석,18
215,방남,18
216,개혁,18
217,김영남,18
218,당원,18
219,정치권,17
220,여사,17
221,입,17
222,세월호,17
223,청년,17
224,요청,17
225,필요,17
226,적,17
227,정상회담,17
228,비핵화,17
229,오늘,17
230,거부,17
231,분권,17
232,사회,17
