,단어명,빈도수
0,명,206
1,경찰,187
2,폭행,140
3,양진호,108
4,유치원,92
5,살인,92
6,사건,87
7,논란,84
8,수사,81
9,전,79
10,중,75
11,의혹,75
12,방,71
13,구속,71
14,검찰,68
15,등,67
16,피해자,64
17,이재명,63
18,화재,62
19,혐의,60
20,조사,60
21,사망,57
22,안,56
23,피해,55
24,여성,53
25,비리,52
26,서울,51
27,회장,50
28,숙명여고,50
29,공개,48
30,직원,48
31,음주운전,48
32,심,47
33,불,45
34,징역,45
35,불법,45
36,영장,45
37,살해,44
38,범죄,43
39,왜,42
40,제주,42
41,재판,42
42,국민,41
43,차,41
44,택시,40
45,것,40
46,교사,40
47,거부,39
48,청원,39
49,발견,39
50,건,39
51,무죄,38
52,검거,38
53,학생,37
54,제,37
55,쌍둥이,37
56,처벌,37
57,흉기,36
58,법원,36
59,사고,36
60,사립,35
61,정부,35
62,적발,34
63,공무원,34
64,집,33
65,못,33
66,개,32
67,남성,32
68,구속영장,32
69,사진,32
70,비,32
71,고시원,32
72,학교,31
73,단체,31
74,임종헌,31
75,의원,31
76,유소,31
77,성폭행,30
78,법,30
79,한국,30
80,변호사,30
81,강제,30
82,댓글,29
83,아파트,29
84,송치,29
85,병역,29
86,신청,28
87,내,28
88,문제,28
89,고발,28
90,학부모,28
91,만취,28
92,후,28
93,범,28
94,지원,27
95,수,27
96,수능,26
97,첫,26
98,입건,26
99,곳,26
100,인정,26
101,집회,26
102,돈,25
103,이상,25
104,더,25
105,병원,25
106,김성수,24
107,사법,24
108,운전자,24
109,판사,24
110,신고,24
111,체포,24
112,협박,24
113,오늘,24
114,최,24
115,또,24
116,동생,23
117,경찰관,23
118,이유,23
119,딸,23
120,서울시,23
121,세상,23
122,압수수색,23
123,엄마,23
124,인천,23
125,위,23
126,뉴스,23
127,아이,23
128,시험,22
129,때,22
130,공사,22
131,피의자,22
132,차량,22
133,양승태,22
134,점,22
135,마약,22
136,유총,22
137,아들,22
138,징용,22
139,가족,22
140,세,21
141,채용,21
142,아버지,21
143,유출,21
144,양심,21
145,소송,21
146,안전,21
147,처,21
148,현장,21
149,성추행,21
150,교수,21
151,개월,20
152,부산,20
153,농단,20
154,말,20
155,남편,20
156,반대,20
157,미세먼지,20
158,채,20
159,지역,20
160,징역형,20
161,사업,20
162,달,20
163,환자,20
164,광주,20
165,기자,20
166,끝,20
167,부인,20
168,강용석,19
169,검,19
170,추락,19
171,최고,19
172,집단,19
173,시신,19
174,어린이집,19
175,위반,19
176,성폭력,19
177,일,19
178,징계,19
179,여,19
180,전국,19
181,외국인,19
182,도,19
183,출석,19
184,교육,19
185,나,19
186,강서구,19
187,몰카,18
188,판결,18
189,금지,18
190,최대,18
191,심사,18
192,시작,18
193,사회,18
194,국가,18
195,운전,18
196,음주,18
197,시민,18
198,주민,18
199,현직,18
200,카페,18
201,기소,18
202,장애인,18
203,의견,18
204,국내,18
205,미투,18
206,증거,18
207,실형,18
208,맘,18
209,태풍,18
210,듯,17
211,필요,17
212,횡령,17
213,사장,17
214,주,17
215,일상,17
216,톡톡,17
217,대표,17
218,대통령,17
219,우려,17
220,구,17
221,중단,17
222,살,17
223,하나,17
224,속,17
225,선고,17
226,우리,17
227,사기,17
228,가해자,17
229,배,17
230,종로,17
231,난민,17
232,요구,16
233,공범,16
234,교통,16
235,술,16
236,갈등,16
237,고교,16
238,사,16
239,소환,16
240,단속,16
241,도주,16
242,대상,16
243,중국,16
244,다시,16
245,노량진,16
246,추가,16
247,뒤,16
248,가짜,16
249,부장,16
250,폐지,16
251,기사,16
252,률,16
253,이수역,15
254,공장,15
255,의사,15
256,달라,15
257,알몸,15
258,관련,15
259,영상,15
260,여론,15
261,앞,15
262,확인,15
263,재,15
264,김현주,15
265,웹하드,15
266,확정,15
267,의심,15
268,남,15
269,호선,15
270,결정,15
271,보험,15
272,선,15
273,관리,15
274,호,15
275,범행,15
276,검사,15
277,포르노,15
278,남친,15
279,사용,15
280,노인,15
281,카풀,15
282,콩레이,15
283,장애,14
284,올해,14
285,허위,14
286,내년,14
287,지하철,14
288,버스,14
289,알,14
290,업체,14
291,욕설,14
292,아내,14
293,사실,14
294,촬영,14
295,추정,14
296,확대,14
297,목사,14
298,업무,14
299,치료,14
300,윤창,14
301,아빠,14
302,동영상,14
303,간부,14
304,반발,14
305,벌금형,14
306,의료,14
307,카카오,14
308,대학,13
309,심신,13
310,인상,13
311,줄,13
312,주장,13
313,고속도로,13
314,폐,13
315,지진,13
316,청구,13
317,새,13
318,날,13
319,시장,13
320,그루밍,13
321,보상,13
322,번,13
323,감,13
324,계엄,13
325,강화,13
326,판매,13
327,학대,13
328,대구,13
329,사람,13
330,여명,13
331,운행,13
332,폭력,13
333,분노,13
334,김부선,13
335,시설,13
336,리벤지,13
337,원인,13
338,고양,13
339,층,12
340,증가,12
341,초,12
342,운영,12
343,집행유예,12
344,미약,12
345,때문,12
346,부상,12
347,보수,12
348,위기,12
349,대책,12
350,강요,12
351,부정,12
352,논산,12
353,벌금,12
354,해,12
355,처리,12
356,추진,12
357,유통,12
358,정황,12
359,부모,12
360,외,12
361,국,12
362,여부,12
363,청년,12
364,경북,12
365,실명,12
366,김,12
367,모두,12
368,노동자,12
369,용의자,12
370,상습,12
371,방치,12
372,사법부,12
373,감형,12
374,구하라,12
375,사과,12
376,절반,12
377,급증,12
378,위해,12
379,강서,12
380,원정,12
381,스리랑카인,12
382,상대,11
383,경비원,11
384,구조,11
385,글,11
386,잘못,11
387,노후,11
388,제한,11
389,의,11
390,대체복무,11
391,빼,11
392,종교,11
393,대신,11
394,수도,11
395,손,11
396,박근혜,11
397,확산,11
398,음란물,11
399,거,11
400,친구,11
401,이명박,11
402,보도,11
403,유은혜,11
404,조작,11
405,한국인,11
406,감사,11
407,호소,11
408,건강,11
409,성범죄,11
410,입,11
411,유죄,11
412,감정,11
413,보호,11
414,직장,11
415,부부,11
416,도박,11
417,시도,11
418,훼손,11
419,전남,11
420,길,11
421,입원,11
422,그,11
423,특수,11
424,신체,11
425,엄벌,11
426,축제,11
427,규탄,11
428,법정구속,11
429,히말라야,11
430,송유관,11
431,대응,10
432,출제,10
433,근로자,10
434,삶,10
435,취해,10
436,실종,10
437,대학생,10
438,결과,10
439,지사,10
440,대법원,10
441,경기도,10
442,산,10
443,구형,10
444,책임,10
445,발표,10
446,검토,10
447,이제,10
448,진실,10
449,행위,10
450,거래,10
451,직접,10
452,가해,10
453,역사,10
454,기관,10
455,부실,10
456,원장,10
457,평균,10
458,이번,10
459,방안,10
460,센터,10
461,문화,10
462,촉구,10
463,사태,10
464,어디,10
465,배상,10
466,대법,10
467,모집,10
468,정당,10
469,규호,10
470,고소,10
471,이,10
472,눈물,10
473,규명,10
474,연기,10
475,친,10
476,당신,10
477,폭발,10
478,긴급,10
479,공립,10
480,선택,10
481,여대,10
482,항소심,10
483,미래,10
484,시위,10
485,계속,10
486,세계,10
487,발생,10
488,기각,10
489,비판,10
490,경찰청장,10
491,조현오,10
492,예멘,10
493,국어,9
494,확보,9
495,교육청,9
496,영어,9
497,대가,9
498,우울증,9
499,어선,9
500,적용,9
501,경기,9
502,탈,9
503,자택,9
504,처분,9
505,가능성,9
506,청와대,9
507,기준,9
508,이후,9
509,장관,9
510,이슈,9
511,대법관,9
512,최근,9
513,허용,9
514,전문가,9
515,기간,9
516,감독,9
517,명품,9
518,병,9
519,로,9
520,정보,9
521,설치,9
522,게,9
523,교육감,9
524,식약처,9
525,일부,9
526,비상,9
527,조치,9
528,모든,9
529,회,9
530,해외,9
531,규제,9
532,진행,9
533,전자,9
534,회사,9
535,상태,9
536,교무,9
537,소방,9
538,위협,9
539,도심,9
540,절도,9
541,집유,9
542,이름,9
543,분석,9
544,보이스피싱,9
545,마련,9
546,두,9
547,기업,9
548,이용주,9
549,행사,9
550,증언,9
551,의무,9
552,브리핑,9
553,경찰청,9
554,덜미,9
555,부,9
556,라돈,9
557,강도,9
558,빚,9
559,가장,9
560,공작,9
561,거제,9
562,인생,9
563,정책,9
564,산림조합,9
565,포토,9
566,혐오,9
567,서비스,9
568,반응,9
569,전문,9
570,성관계,9
571,침해,9
572,혜화역,9
573,곰탕,9
574,돌파,9
575,작년,8
576,누리꾼,8
577,먼저,8
578,충돌,8
579,해명,8
580,행정,8
581,사퇴,8
582,동료,8
583,도입,8
584,명단,8
585,관,8
586,간,8
587,석방,8
588,고용,8
589,액,8
590,당국,8
591,기술,8
592,여교사,8
593,준,8
594,국회,8
595,지시,8
596,땐,8
597,차례,8
598,사위,8
599,회삿돈,8
600,승차,8
601,문건,8
602,성적,8
603,임,8
604,인사,8
605,참사,8
606,일당,8
607,모,8
608,동의,8
609,판단,8
610,아동,8
611,삼성,8
612,개인,8
613,정의,8
614,투자,8
615,대부분,8
616,경제,8
617,시급,8
618,스쿨,8
619,과태료,8
620,특별,8
621,대한민국,8
622,경찰서,8
623,수산시장,8
624,직장인,8
625,종합,8
626,청소년,8
627,뇌물,8
628,난동,8
629,화장실,8
630,오전,8
631,제출,8
632,소년원,8
633,전북,8
634,지자체,8
635,자전거,8
636,출신,8
637,교회,8
638,역,8
639,추적,8
640,단,8
641,종,8
642,시,8
643,노조,8
644,결혼,8
645,속도,8
646,보육,8
647,급여,8
648,성공,8
649,검증,8
650,표시,8
651,하늘,8
652,김씨,8
653,단독,8
654,형,8
655,항소,8
656,수석,8
657,마리,8
658,인,8
659,압수,8
660,성희롱,8
661,위조,8
662,처음,7
663,뺨,7
664,수술,7
665,개입,7
666,유족,7
667,소비자,7
668,김포,7
669,자료,7
670,주인,7
671,수험생,7
672,원금,7
673,목소리,7
674,진입,7
675,체납,7
676,돌,7
677,유차,7
678,장,7
679,남용,7
680,제품,7
681,시민단체,7
682,법관,7
683,제자,7
684,주사,7
685,포기,7
686,매달,7
687,탓,7
688,은,7
689,총,7
690,과거,7
691,중앙,7
692,개혁,7
693,연루,7
694,곳곳,7
695,성매매,7
696,발,7
697,폭로,7
698,자녀,7
699,비위,7
700,합동,7
701,관광객,7
702,수당,7
703,자퇴,7
704,매년,7
705,시험지,7
706,주택,7
707,취소,7
708,소득,7
709,촛불,7
710,카르텔,7
711,일자리,7
712,모텔,7
713,스마트폰,7
714,선원,7
715,호텔,7
716,및,7
717,투신,7
718,식당,7
719,착수,7
720,지난해,7
721,뺑소니,7
722,국민연금,7
723,노,7
724,규모,7
725,가정폭력,7
726,영업,7
727,환경,7
728,도로,7
729,승용차,7
730,판,7
731,구매,7
732,광고,7
733,난,7
734,취업,7
735,누구,7
736,관계,7
737,출근길,7
738,해결,7
739,할머니,7
740,인권,7
741,실,7
742,시스템,7
743,중앙회,7
744,며,7
745,위험,7
746,택배,7
747,개선,7
748,출산,7
749,성,7
750,허가,7
751,누가,7
752,칼,7
753,인명,7
754,오후,7
755,동물학대,7
756,얼굴,7
757,혜경궁,7
758,입국,7
759,출동,7
760,조국,7
761,전면,7
762,진화,7
763,수습,7
764,고통,7
765,유포,7
766,제천,7
767,애,6
768,충북,6
769,등록,6
770,환,6
771,독도,6
772,부검,6
773,집행,6
774,김명수,6
775,연구,6
776,해고,6
777,평가,6
778,충남,6
779,거리,6
780,회원,6
781,참여,6
782,내일,6
783,대구시,6
784,과정,6
785,하루,6
786,예정,6
787,여친,6
788,자유,6
789,젠,6
790,부자,6
791,황제,6
792,기록,6
793,관심,6
794,징벌,6
795,여자친구,6
796,제도,6
797,주의,6
798,수익,6
799,정신,6
800,초등생,6
801,일반,6
802,뭐,6
803,요청,6
804,시행,6
805,합의,6
806,논의,6
807,영화,6
808,점검,6
809,효과,6
810,반성,6
811,다른,6
812,쓰레기,6
813,찬성,6
814,통제,6
815,기본,6
816,개발,6
817,교통사고,6
818,예산,6
819,재산,6
820,정치,6
821,탈출,6
822,추모,6
823,불구속,6
824,솜방망이,6
825,응급실,6
826,취하,6
827,실질,6
828,공원,6
829,가방,6
830,호씨,6
831,죽음,6
832,집중,6
833,임대,6
834,지방,6
835,장치,6
836,자살,6
837,상인,6
838,한번,6
839,필수,6
840,프로그램,6
841,대피,6
842,파문,6
843,사망자,6
844,금,6
845,고,6
846,추행,6
847,판정,6
848,손님,6
849,최소,6
850,경남,6
851,자매,6
852,대체,6
853,율,6
854,사이트,6
855,수급,6
856,문재인,6
857,부담,6
858,회복,6
859,귀국,6
860,의약품,6
861,사상,6
862,전격,6
863,명의,6
864,위안부,6
865,면허,6
866,조직,6
867,전직,6
868,시대,6
869,고객,6
870,메르스,6
871,신뢰,6
872,사찰,6
873,발부,6
874,변론,6
875,이석형,6
876,면접,6
877,공단,6
878,반려동물,6
879,선거,6
880,담배,6
881,재범,6
882,무혐의,6
883,유명,6
